회계연도,지역명,자치단체명,자치단체코드,본청여부,통합재정수지비율
2018,충북,충북진천군,4375000,N,3.8
2018,충북,충북괴산군,4376000,N,10.86
2018,충북,충북음성군,4377000,N,0.65
2018,충북,충북단양군,4378000,N,4.24
2018,충북,충북증평군,4379000,N,2.05
2018,충남,충남본청,4400000,Y,-0.53
2018,충남,충남천안시,4411000,N,4.89
2018,충남,충남공주시,4412000,N,13.49
2018,충남,충남보령시,4413000,N,4.72
2018,충남,충남아산시,4414000,N,9.3
2018,충남,충남서산시,4415000,N,13.44
2018,충남,충남논산시,4416000,N,11.23
2018,충남,충남계룡시,4417000,N,20.67
2018,충남,충남당진시,4418000,N,1.69
2018,충남,충남금산군,4471000,N,8.35
2018,충남,충남부여군,4473000,N,10.89
2018,충남,충남서천군,4474000,N,0.47
2018,충남,충남청양군,4475000,N,6.69
2018,충남,충남홍성군,4476000,N,4.12
2018,충남,충남예산군,4477000,N,6.79
2018,충남,충남태안군,4478000,N,0.22
2018,전북,전북본청,4500000,Y,2.83
2018,전북,전북전주시,4511000,N,11.77
2018,전북,전북군산시,4512000,N,6.02
2018,전북,전북익산시,4513000,N,4.06
2018,전북,전북정읍시,4514000,N,10.45
2018,전북,전북남원시,4515000,N,5.97
2018,전북,전북김제시,4516000,N,17.91
2018,전북,전북완주군,4571000,N,7.2
2018,전북,전북진안군,4572000,N,6.99
2018,전북,전북무주군,4573000,N,5.65
2018,전북,전북장수군,4574000,N,4.26
2018,전북,전북임실군,4575000,N,5.67
2018,전북,전북순창군,4576000,N,6.29
2018,전북,전북고창군,4577000,N,8.27
2018,전북,전북부안군,4578000,N,7.39
2018,전남,전남본청,4600000,Y,-0.14
2018,전남,전남목포시,4611000,N,4.74
2018,전남,전남여수시,4612000,N,31.17
2018,전남,전남순천시,4613000,N,12.28
2018,전남,전남나주시,4614000,N,1.04
2018,전남,전남광양시,4615000,N,2.8
2018,전남,전남담양군,4671000,N,7.31
2018,전남,전남곡성군,4672000,N,7.83
2018,전남,전남구례군,4673000,N,2.12
2018,전남,전남고흥군,4674000,N,5.58
2018,전남,전남보성군,4675000,N,12.37
2018,전남,전남화순군,4676000,N,7.8
2018,전남,전남장흥군,4677000,N,11.43
2018,전남,전남강진군,4678000,N,3.83
2018,전남,전남해남군,4679000,N,14.32
2018,전남,전남영암군,4680000,N,1.93
2018,전남,전남무안군,4681000,N,16.63
2018,전남,전남함평군,4682000,N,3.71
2018,전남,전남영광군,4683000,N,-3.59
2018,전남,전남장성군,4684000,N,-0.14
2018,전남,전남완도군,4685000,N,5.26
2018,전남,전남진도군,4686000,N,14.29
2018,전남,전남신안군,4687000,N,6.2
2018,경북,경북본청,4700000,Y,-2.73
2018,경북,경북포항시,4711000,N,11.63
2018,경북,경북경주시,4712000,N,1.24
2018,경북,경북김천시,4713000,N,-3.25
2018,경북,경북안동시,4714000,N,4.21
2018,경북,경북구미시,4715000,N,6.06
2018,경북,경북영주시,4716000,N,6.64
2018,경북,경북영천시,4717000,N,11.75
2018,경북,경북상주시,4718000,N,17.2
2018,경북,경북문경시,4719000,N,0.26
2018,경북,경북경산시,4720000,N,2.46
2018,경북,경북군위군,4771000,N,-2.17
2018,경북,경북의성군,4772000,N,4.77
2018,경북,경북청송군,4773000,N,5.15
2018,경북,경북영양군,4774000,N,17.98
2018,경북,경북영덕군,4775000,N,28.92
2018,경북,경북청도군,4776000,N,11.62
2018,경북,경북고령군,4777000,N,-2.12
2018,경북,경북성주군,4778000,N,9.66
2018,경북,경북칠곡군,4779000,N,4.39
2018,경북,경북예천군,4780000,N,-0.56
2018,경북,경북봉화군,4781000,N,6.27
2018,경북,경북울진군,4782000,N,-6.29
2018,경북,경북울릉군,4783000,N,10.05
2018,경남,경남본청,4800000,Y,-4.81
2018,경남,경남창원시,4811000,N,0
2018,경남,경남진주시,4813000,N,23.06
2018,경남,경남통영시,4815000,N,11.94
2018,경남,경남사천시,4816000,N,2.14
2018,경남,경남김해시,4817000,N,3.06
2018,경남,경남밀양시,4818000,N,4.97
2018,경남,경남거제시,4819000,N,1.76
2018,경남,경남양산시,4820000,N,0.81
2018,경남,경남의령군,4871000,N,10.67
2018,경남,경남함안군,4872000,N,11.9
2018,경남,경남창녕군,4873000,N,4.19
2018,경남,경남고성군,4874000,N,11.76
2018,경남,경남남해군,4875000,N,5.77
2018,경남,경남하동군,4876000,N,-8.79
2018,경남,경남산청군,4877000,N,5.23
2018,경남,경남함양군,4878000,N,6.7
2018,경남,경남거창군,4879000,N,14.47
2018,경남,경남합천군,4880000,N,5.81
2018,제주,제주본청,4900000,Y,-3.69
2019,서울,서울본청,1100000,Y,-3.07
2019,서울,서울종로구,1111000,N,5.17
2019,서울,서울중구,1112000,N,5.92
2019,서울,서울용산구,1113000,N,2.12
2019,서울,서울성동구,1114000,N,9.16
2019,서울,서울광진구,1115000,N,5.76
2019,서울,서울동대문구,1116000,N,2.46
2019,서울,서울중랑구,1117000,N,1.52
2019,서울,서울성북구,1118000,N,4.81
2019,서울,서울강북구,1119000,N,6.45
2019,서울,서울도봉구,1120000,N,4.58
2019,서울,서울노원구,1121000,N,2.37
2019,서울,서울은평구,1122000,N,3.67
2019,서울,서울서대문구,1123000,N,2.76
2019,서울,서울마포구,1124000,N,1.97
2019,서울,서울양천구,1125000,N,5.48
2019,서울,서울강서구,1126000,N,4.21
2019,서울,서울구로구,1127000,N,6.18
2019,서울,서울금천구,1128000,N,4.69
2019,서울,서울영등포구,1129000,N,8.13
2019,서울,서울동작구,1130000,N,5.62
2019,서울,서울관악구,1131000,N,6.46
2019,서울,서울서초구,1132000,N,-0.9
2019,서울,서울강남구,1133000,N,6.03
2019,서울,서울송파구,1134000,N,5.99
2019,서울,서울강동구,1135000,N,3.7
2019,부산,부산본청,2600000,Y,0.78
2019,부산,부산중구,2611000,N,10.35
2019,부산,부산서구,2612000,N,3.93
2019,부산,부산동구,2613000,N,6.32
2019,부산,부산영도구,2614000,N,5.86
2019,부산,부산부산진구,2615000,N,6.77
2019,부산,부산동래구,2616000,N,10.6
2019,부산,부산남구,2617000,N,3.28
2019,부산,부산북구,2618000,N,4.96
2019,부산,부산해운대구,2619000,N,3.44
2019,부산,부산사하구,2620000,N,1.64
2019,부산,부산금정구,2621000,N,7.49
2019,부산,부산강서구,2622000,N,-1.76
2019,부산,부산연제구,2623000,N,6.32
2019,부산,부산수영구,2624000,N,3.66
2019,부산,부산사상구,2625000,N,0.36
2019,부산,부산기장군,2671000,N,2.53
2019,대구,대구본청,2700000,Y,2.44
2019,대구,대구중구,2711000,N,11.71
2019,대구,대구동구,2712000,N,6.12
2019,대구,대구서구,2713000,N,8
2019,대구,대구남구,2714000,N,11.65
2019,대구,대구북구,2715000,N,3.34
2019,대구,대구수성구,2716000,N,9.1
2019,대구,대구달서구,2717000,N,3.23
2019,대구,대구달성군,2771000,N,-0.44
2019,인천,인천본청,2800000,Y,3.02
2019,인천,인천중구,2811000,N,11.03
2019,인천,인천동구,2812000,N,13.5
2019,인천,인천미추홀구,2813000,N,1.24
2019,인천,인천연수구,2814000,N,-7.38
2019,인천,인천남동구,2815000,N,-1.13
2019,인천,인천부평구,2816000,N,2.03
2019,인천,인천계양구,2817000,N,1.46
2019,인천,인천서구,2818000,N,1.74
2019,인천,인천강화군,2871000,N,1.7
2019,인천,인천옹진군,2872000,N,16.88
2019,광주,광주본청,2900000,Y,4.18
2019,광주,광주동구,2911000,N,-4.86
2019,광주,광주서구,2912000,N,6.83
2019,광주,광주남구,2913000,N,6.1
2019,광주,광주북구,2914000,N,2.05
2019,광주,광주광산구,2915000,N,8.33
2019,대전,대전본청,3000000,Y,4.12
2019,대전,대전동구,3011000,N,8.34
2019,대전,대전중구,3012000,N,7.26
2019,대전,대전서구,3013000,N,2.47
2019,대전,대전유성구,3014000,N,4.51
2019,대전,대전대덕구,3015000,N,3.77
2019,울산,울산본청,3100000,Y,-0.77
2019,울산,울산중구,3111000,N,-0.65
2019,울산,울산남구,3112000,N,-6.5
2019,울산,울산동구,3113000,N,3.09
2019,울산,울산북구,3114000,N,-1.66
2019,울산,울산울주군,3171000,N,-3.6
2019,세종,세종본청,3200000,Y,-7.54
2019,경기,경기본청,4100000,Y,-1.99
2019,경기,경기수원시,4111000,N,-2.1
2019,경기,경기성남시,4112000,N,-5.62
2019,경기,경기의정부시,4113000,N,8.95
2019,경기,경기안양시,4114000,N,11.54
2019,경기,경기부천시,4115000,N,-1.92
2019,경기,경기광명시,4116000,N,1.65
2019,경기,경기평택시,4117000,N,-0.67
2019,경기,경기동두천시,4118000,N,-3.43
2019,경기,경기안산시,4119000,N,-12.26
2019,경기,경기고양시,4120000,N,8.27
2019,경기,경기과천시,4121000,N,4.61
2019,경기,경기구리시,4122000,N,10.61
2019,경기,경기남양주시,4123000,N,8.26
2019,경기,경기오산시,4124000,N,-9.37
2019,경기,경기시흥시,4125000,N,-7.23
2019,경기,경기군포시,4126000,N,6.77
2019,경기,경기의왕시,4127000,N,7.28
2019,경기,경기하남시,4128000,N,3.03
2019,경기,경기용인시,4129000,N,-0.53
2019,경기,경기파주시,4130000,N,1.49
2019,경기,경기이천시,4131000,N,34.27
2019,경기,경기안성시,4132000,N,16.69
2019,경기,경기김포시,4133000,N,3.53
2019,경기,경기화성시,4134000,N,4.3
2019,경기,경기광주시,4135000,N,9.02
2019,경기,경기양주시,4136000,N,-0.13
2019,경기,경기포천시,4137000,N,15.52
2019,경기,경기여주시,4138000,N,18.58
2019,경기,경기연천군,4175000,N,13.29
2019,경기,경기가평군,4177000,N,8.86
2019,경기,경기양평군,4178000,N,10.18
2019,강원,강원본청,4200000,Y,-4.6
2019,강원,강원춘천시,4211000,N,7.8
2019,강원,강원원주시,4212000,N,0.41
2019,강원,강원강릉시,4213000,N,17.67
2019,강원,강원동해시,4214000,N,12.36
2019,강원,강원태백시,4215000,N,10.86
2019,강원,강원속초시,4216000,N,16.14
2019,강원,강원삼척시,4217000,N,12.27
2019,강원,강원홍천군,4271000,N,10.3
2019,강원,강원횡성군,4272000,N,6.34
2019,강원,강원영월군,4273000,N,2.71
2019,강원,강원평창군,4274000,N,4.09
2019,강원,강원정선군,4275000,N,0.72
2019,강원,강원철원군,4276000,N,4.93
2019,강원,강원화천군,4277000,N,9.22
2019,강원,강원양구군,4278000,N,5.34
2019,강원,강원인제군,4279000,N,3.91
2019,강원,강원고성군,4280000,N,5.94
2019,강원,강원양양군,4281000,N,-0.97
2019,충북,충북본청,4300000,Y,2.26
2019,충북,충북충주시,4312000,N,3.68
2019,충북,충북제천시,4313000,N,13.03
2019,충북,충북청주시,4314000,N,7.51
2019,충북,충북보은군,4372000,N,4.78
2019,충북,충북옥천군,4373000,N,-2.46
2019,충북,충북영동군,4374000,N,3.11
2019,충북,충북진천군,4375000,N,-0.81
2019,충북,충북괴산군,4376000,N,-3.42
2019,충북,충북음성군,4377000,N,-0.65
2019,충북,충북단양군,4378000,N,-2.76
2019,충북,충북증평군,4379000,N,3.15
2019,충남,충남본청,4400000,Y,-3.33
2019,충남,충남천안시,4411000,N,0.38
2019,충남,충남공주시,4412000,N,-5.04
2019,충남,충남보령시,4413000,N,3.85
2019,충남,충남아산시,4414000,N,4.7
2019,충남,충남서산시,4415000,N,-7.1
2019,충남,충남논산시,4416000,N,4.09
2019,충남,충남계룡시,4417000,N,16.74
2019,충남,충남당진시,4418000,N,2.82
2019,충남,충남금산군,4471000,N,12.07
2019,충남,충남부여군,4473000,N,4.88
2019,충남,충남서천군,4474000,N,5.31
2019,충남,충남청양군,4475000,N,9.47
2019,충남,충남홍성군,4476000,N,6.55
2019,충남,충남예산군,4477000,N,-0.7
2019,충남,충남태안군,4478000,N,-2.66
2019,전북,전북본청,4500000,Y,4.29
2019,전북,전북전주시,4511000,N,5.9
2019,전북,전북군산시,4512000,N,9.19
2019,전북,전북익산시,4513000,N,11.64
2019,전북,전북정읍시,4514000,N,10.27
2019,전북,전북남원시,4515000,N,2.86
2019,전북,전북김제시,4516000,N,6.2
2019,전북,전북완주군,4571000,N,10.22
2019,전북,전북진안군,4572000,N,7.91
2019,전북,전북무주군,4573000,N,7.17
2019,전북,전북장수군,4574000,N,6.92
2019,전북,전북임실군,4575000,N,6.52
2019,전북,전북순창군,4576000,N,2.72
2019,전북,전북고창군,4577000,N,6.6
2019,전북,전북부안군,4578000,N,1.83
2019,전남,전남본청,4600000,Y,2.17
2019,전남,전남목포시,4611000,N,0.86
2019,전남,전남여수시,4612000,N,-5.53
2019,전남,전남순천시,4613000,N,1.73
2019,전남,전남나주시,4614000,N,-1.38
2019,전남,전남광양시,4615000,N,8.35
2019,전남,전남담양군,4671000,N,-5.01
2019,전남,전남곡성군,4672000,N,-2.65
2019,전남,전남구례군,4673000,N,7.43
2019,전남,전남고흥군,4674000,N,-1.17
2019,전남,전남보성군,4675000,N,8.01
2019,전남,전남화순군,4676000,N,2.05
2019,전남,전남장흥군,4677000,N,5.89
2019,전남,전남강진군,4678000,N,5.07
2019,전남,전남해남군,4679000,N,10.28
2019,전남,전남영암군,4680000,N,4.99
2019,전남,전남무안군,4681000,N,0.09
2019,전남,전남함평군,4682000,N,5.04
2019,전남,전남영광군,4683000,N,-0.34
2019,전남,전남장성군,4684000,N,2.56
2019,전남,전남완도군,4685000,N,5.7
2019,전남,전남진도군,4686000,N,9.46
2019,전남,전남신안군,4687000,N,-2.75
2019,경북,경북본청,4700000,Y,-0.49
2019,경북,경북포항시,4711000,N,6.68
2019,경북,경북경주시,4712000,N,10.15
2019,경북,경북김천시,4713000,N,-1.94
2019,경북,경북안동시,4714000,N,3.75
2019,경북,경북구미시,4715000,N,7.74
2019,경북,경북영주시,4716000,N,8.2
2019,경북,경북영천시,4717000,N,8.75
2019,경북,경북상주시,4718000,N,10.51
2019,경북,경북문경시,4719000,N,5.4
2019,경북,경북경산시,4720000,N,3.53
2019,경북,경북군위군,4771000,N,7.39
2019,경북,경북의성군,4772000,N,5.69
2019,경북,경북청송군,4773000,N,4.89
2019,경북,경북영양군,4774000,N,11.27
2019,경북,경북영덕군,4775000,N,15.18
2019,경북,경북청도군,4776000,N,18.77
2019,경북,경북고령군,4777000,N,4.51
2019,경북,경북성주군,4778000,N,2.22
2019,경북,경북칠곡군,4779000,N,7.67
2019,경북,경북예천군,4780000,N,8.79
2019,경북,경북봉화군,4781000,N,4.54
2019,경북,경북울진군,4782000,N,14.49
2019,경북,경북울릉군,4783000,N,12.29
2019,경남,경남본청,4800000,Y,0.63
2019,경남,경남창원시,4811000,N,0.97
2019,경남,경남진주시,4813000,N,2.18
2019,경남,경남통영시,4815000,N,3.49
2019,경남,경남사천시,4816000,N,1.37
2019,경남,경남김해시,4817000,N,3.74
2019,경남,경남밀양시,4818000,N,4.88
2019,경남,경남거제시,4819000,N,8.1
2019,경남,경남양산시,4820000,N,1.55
2019,경남,경남의령군,4871000,N,6.8
2019,경남,경남함안군,4872000,N,7.91
2019,경남,경남창녕군,4873000,N,4.21
2019,경남,경남고성군,4874000,N,7.09
2019,경남,경남남해군,4875000,N,-2.98
2019,경남,경남하동군,4876000,N,16.78
2019,경남,경남산청군,4877000,N,4.58
2019,경남,경남함양군,4878000,N,4.1
2019,경남,경남거창군,4879000,N,12.13
2019,경남,경남합천군,4880000,N,0.59
2019,제주,제주본청,4900000,Y,-3.98
2020,서울,서울본청,1100000,Y,-6.54
2020,서울,서울종로구,1111000,N,7.9
2020,서울,서울중구,1112000,N,-3.51
2020,서울,서울용산구,1113000,N,4.72
2020,서울,서울성동구,1114000,N,5.15
2020,서울,서울광진구,1115000,N,8.65
2020,서울,서울동대문구,1116000,N,7.46
2020,서울,서울중랑구,1117000,N,-0.34
2020,서울,서울성북구,1118000,N,8.58
2020,서울,서울강북구,1119000,N,7.5
2020,서울,서울도봉구,1120000,N,2.53
2020,서울,서울노원구,1121000,N,-0.22
2020,서울,서울은평구,1122000,N,4.22
2020,서울,서울서대문구,1123000,N,2.99
2020,서울,서울마포구,1124000,N,5.95
2020,서울,서울양천구,1125000,N,3.43
2020,서울,서울강서구,1126000,N,2.61
2020,서울,서울구로구,1127000,N,3.45
2020,서울,서울금천구,1128000,N,5.65
2020,서울,서울영등포구,1129000,N,4.47
2020,서울,서울동작구,1130000,N,3.49
2020,서울,서울관악구,1131000,N,4.28
2020,서울,서울서초구,1132000,N,2.71
2020,서울,서울강남구,1133000,N,-0.31
2020,서울,서울송파구,1134000,N,1.92
2020,서울,서울강동구,1135000,N,0.78
2020,부산,부산본청,2600000,Y,-1.24
2020,부산,부산중구,2611000,N,2.76
2020,부산,부산서구,2612000,N,3.26
2020,부산,부산동구,2613000,N,2.97
2020,부산,부산영도구,2614000,N,-0.16
2020,부산,부산부산진구,2615000,N,2.36
2020,부산,부산동래구,2616000,N,-1.26
2020,부산,부산남구,2617000,N,3.74
2020,부산,부산북구,2618000,N,0.19
2020,부산,부산해운대구,2619000,N,1.86
2020,부산,부산사하구,2620000,N,-1.57
2020,부산,부산금정구,2621000,N,0.25
2020,부산,부산강서구,2622000,N,1.63
2020,부산,부산연제구,2623000,N,-0.43
2020,부산,부산수영구,2624000,N,2.63
2020,부산,부산사상구,2625000,N,2.51
2020,부산,부산기장군,2671000,N,0.61
2020,대구,대구본청,2700000,Y,-5.9
2020,대구,대구중구,2711000,N,8.99
2020,대구,대구동구,2712000,N,1.76
2020,대구,대구서구,2713000,N,6.51
2020,대구,대구남구,2714000,N,11.85
2020,대구,대구북구,2715000,N,2.32
2020,대구,대구수성구,2716000,N,3.8
2020,대구,대구달서구,2717000,N,2.4
2020,대구,대구달성군,2771000,N,-3.42
2020,인천,인천본청,2800000,Y,-0.6
2020,인천,인천중구,2811000,N,9.09
2020,인천,인천동구,2812000,N,8.31
2020,인천,인천미추홀구,2813000,N,2.68
2020,인천,인천연수구,2814000,N,1.91
2020,인천,인천남동구,2815000,N,-3.3
2020,인천,인천부평구,2816000,N,-1.33
2020,인천,인천계양구,2817000,N,6.26
2020,인천,인천서구,2818000,N,6.78
2020,인천,인천강화군,2871000,N,-3.78
2020,인천,인천옹진군,2872000,N,3.14
2020,광주,광주본청,2900000,Y,-4.2
2020,광주,광주동구,2911000,N,8.41
2020,광주,광주서구,2912000,N,4.84
2020,광주,광주남구,2913000,N,9.37
2020,광주,광주북구,2914000,N,2.35
2020,광주,광주광산구,2915000,N,2.04
2020,대전,대전본청,3000000,Y,-6.09
2020,대전,대전동구,3011000,N,3.73
2020,대전,대전중구,3012000,N,3.49
2020,대전,대전서구,3013000,N,4.41
2020,대전,대전유성구,3014000,N,0.74
2020,대전,대전대덕구,3015000,N,1.06
2020,울산,울산본청,3100000,Y,-2.69
2020,울산,울산중구,3111000,N,2.64
2020,울산,울산남구,3112000,N,2.59
2020,울산,울산동구,3113000,N,-2.08
2020,울산,울산북구,3114000,N,1.15
2020,울산,울산울주군,3171000,N,-1.31
2020,세종,세종본청,3200000,Y,-3.82
2020,경기,경기본청,4100000,Y,-0.64
2020,경기,경기수원시,4111000,N,-5.68
2020,경기,경기성남시,4112000,N,-9.4
2020,경기,경기의정부시,4113000,N,-2.46
2020,경기,경기안양시,4114000,N,2.04
2020,경기,경기부천시,4115000,N,-6.64
2020,경기,경기광명시,4116000,N,1.39
2020,경기,경기평택시,4117000,N,-6.16
2020,경기,경기동두천시,4118000,N,-6.74
2020,경기,경기안산시,4119000,N,-12.31
2020,경기,경기고양시,4120000,N,-0.89
2020,경기,경기과천시,4121000,N,15.45
2020,경기,경기구리시,4122000,N,-3.13
2020,경기,경기남양주시,4123000,N,-5.03
2020,경기,경기오산시,4124000,N,-12.08
2020,경기,경기시흥시,4125000,N,-10.96
2020,경기,경기군포시,4126000,N,3.77
2020,경기,경기의왕시,4127000,N,12.38
2020,경기,경기하남시,4128000,N,3.5
2020,경기,경기용인시,4129000,N,-0.74
2020,경기,경기파주시,4130000,N,2.05
2020,경기,경기이천시,4131000,N,-5.24
2020,경기,경기안성시,4132000,N,3.31
2020,경기,경기김포시,4133000,N,-2.21
2020,경기,경기화성시,4134000,N,-9.64
2020,경기,경기광주시,4135000,N,-1.84
2020,경기,경기양주시,4136000,N,-0.53
2020,경기,경기포천시,4137000,N,-1.62
2020,경기,경기여주시,4138000,N,-1.9
2020,경기,경기연천군,4175000,N,-6.92
2020,경기,경기가평군,4177000,N,6.75
2020,경기,경기양평군,4178000,N,4.09
2020,강원,강원본청,4200000,Y,-3.23
2020,강원,강원춘천시,4211000,N,-5.21
2020,강원,강원원주시,4212000,N,-0.62
2020,강원,강원강릉시,4213000,N,-9.81
2020,강원,강원동해시,4214000,N,-6.29
2020,강원,강원태백시,4215000,N,-4.28
2020,강원,강원속초시,4216000,N,-5.62
2020,강원,강원삼척시,4217000,N,-8.93
2020,강원,강원홍천군,4271000,N,-3.42
2020,강원,강원횡성군,4272000,N,-2.72
2020,강원,강원영월군,4273000,N,-2.4
2020,강원,강원평창군,4274000,N,0.6
2020,강원,강원정선군,4275000,N,-3.84
2020,강원,강원철원군,4276000,N,14.81
2020,강원,강원화천군,4277000,N,3.03
2020,강원,강원양구군,4278000,N,2.31
2020,강원,강원인제군,4279000,N,-3.76
2020,강원,강원고성군,4280000,N,-6.6
2020,강원,강원양양군,4281000,N,2.24
2020,충북,충북본청,4300000,Y,1.07
2020,충북,충북충주시,4312000,N,-0.42
2020,충북,충북제천시,4313000,N,-3.53
2020,충북,충북청주시,4314000,N,6.1
2020,충북,충북보은군,4372000,N,-3.87
2020,충북,충북옥천군,4373000,N,-6.14
2020,충북,충북영동군,4374000,N,-7.18
2020,충북,충북진천군,4375000,N,0.05
2020,충북,충북괴산군,4376000,N,-9.98
2020,충북,충북음성군,4377000,N,0.73
2020,충북,충북단양군,4378000,N,6.36
2020,충북,충북증평군,4379000,N,-1.73
2020,충남,충남본청,4400000,Y,-3.4
2020,충남,충남천안시,4411000,N,-2.14
2020,충남,충남공주시,4412000,N,-2
2020,충남,충남보령시,4413000,N,-4.14
2020,충남,충남아산시,4414000,N,-4.43
2020,충남,충남서산시,4415000,N,-3.71
2020,충남,충남논산시,4416000,N,-2.03
2020,충남,충남계룡시,4417000,N,-0.23
2020,충남,충남당진시,4418000,N,-3.4
2020,충남,충남금산군,4471000,N,-5.27
2020,충남,충남부여군,4473000,N,-6.42
2020,충남,충남서천군,4474000,N,-9.66
2020,충남,충남청양군,4475000,N,0.85
2020,충남,충남홍성군,4476000,N,1.04
2020,충남,충남예산군,4477000,N,0.62
2020,충남,충남태안군,4478000,N,-5.67
2020,전북,전북본청,4500000,Y,-2.17
2020,전북,전북전주시,4511000,N,-3.91
2020,전북,전북군산시,4512000,N,-2.69
2020,전북,전북익산시,4513000,N,-3
2020,전북,전북정읍시,4514000,N,-8.31
2020,전북,전북남원시,4515000,N,-1.46
2020,전북,전북김제시,4516000,N,-0.13
2020,전북,전북완주군,4571000,N,6.85
2020,전북,전북진안군,4572000,N,-1.82
2020,전북,전북무주군,4573000,N,-5.56
2020,전북,전북장수군,4574000,N,-5.42
2020,전북,전북임실군,4575000,N,-7.18
2020,전북,전북순창군,4576000,N,-3.71
2020,전북,전북고창군,4577000,N,-6.3
2020,전북,전북부안군,4578000,N,-4.94
2020,전남,전남본청,4600000,Y,1.5
2020,전남,전남목포시,4611000,N,4.83
2020,전남,전남여수시,4612000,N,-9.37
2020,전남,전남순천시,4613000,N,-5.89
2020,전남,전남나주시,4614000,N,0.09
2020,전남,전남광양시,4615000,N,-4.14
2020,전남,전남담양군,4671000,N,-3.99
2020,전남,전남곡성군,4672000,N,-0.46
2020,전남,전남구례군,4673000,N,16.57
2020,전남,전남고흥군,4674000,N,-5.37
2020,전남,전남보성군,4675000,N,-5.94
2020,전남,전남화순군,4676000,N,-5.24
2020,전남,전남장흥군,4677000,N,-2.27
2020,전남,전남강진군,4678000,N,-0.12
2020,전남,전남해남군,4679000,N,-8.25
2020,전남,전남영암군,4680000,N,-3.68
2020,전남,전남무안군,4681000,N,-10.82
2020,전남,전남함평군,4682000,N,1.94
2020,전남,전남영광군,4683000,N,-1.57
2020,전남,전남장성군,4684000,N,-0.67
2020,전남,전남완도군,4685000,N,-3.24
2020,전남,전남진도군,4686000,N,-4.76
2020,전남,전남신안군,4687000,N,-5.38
2020,경북,경북본청,4700000,Y,-3.45
2020,경북,경북포항시,4711000,N,-5.72
2020,경북,경북경주시,4712000,N,0.44
2020,경북,경북김천시,4713000,N,-3.12
2020,경북,경북안동시,4714000,N,2.66
2020,경북,경북구미시,4715000,N,-6.26
2020,경북,경북영주시,4716000,N,0.63
2020,경북,경북영천시,4717000,N,-2.49
2020,경북,경북상주시,4718000,N,0.17
2020,경북,경북문경시,4719000,N,-2.47
2020,경북,경북경산시,4720000,N,-1.08
2020,경북,경북군위군,4771000,N,-2.14
2020,경북,경북의성군,4772000,N,-4.31
2020,경북,경북청송군,4773000,N,-6.08
2020,경북,경북영양군,4774000,N,-4.35
2020,경북,경북영덕군,4775000,N,-15.16
2020,경북,경북청도군,4776000,N,3.67
2020,경북,경북고령군,4777000,N,0.87
2020,경북,경북성주군,4778000,N,-7.04
2020,경북,경북칠곡군,4779000,N,0.39
2020,경북,경북예천군,4780000,N,-2.67
2020,경북,경북봉화군,4781000,N,-3.34
2020,경북,경북울진군,4782000,N,-16.29
2020,경북,경북울릉군,4783000,N,15.34
2020,경남,경남본청,4800000,Y,-2.46
2020,경남,경남창원시,4811000,N,-1.84
2020,경남,경남진주시,4813000,N,-3.8
2020,경남,경남통영시,4815000,N,-4.98
2020,경남,경남사천시,4816000,N,-2.93
2020,경남,경남김해시,4817000,N,-1.93
2020,경남,경남밀양시,4818000,N,-0.74
2020,경남,경남거제시,4819000,N,2.3
2020,경남,경남양산시,4820000,N,2.4
2020,경남,경남의령군,4871000,N,-0.03
2020,경남,경남함안군,4872000,N,-7.15
2020,경남,경남창녕군,4873000,N,-3.99
2020,경남,경남고성군,4874000,N,-5.46
2020,경남,경남남해군,4875000,N,-3.79
2020,경남,경남하동군,4876000,N,-1.97
2020,경남,경남산청군,4877000,N,-6.49
2020,경남,경남함양군,4878000,N,-6.12
2020,경남,경남거창군,4879000,N,-4.47
2020,경남,경남합천군,4880000,N,-0.79
2020,제주,제주본청,4900000,Y,-6.06
2021,서울,서울본청,1100000,Y,5.09
2021,서울,서울종로구,1111000,N,3.45
2021,서울,서울중구,1112000,N,-1.66
2021,서울,서울용산구,1113000,N,7.15
2021,서울,서울성동구,1114000,N,0.77
2021,서울,서울광진구,1115000,N,8.03
2021,서울,서울동대문구,1116000,N,13.01
2021,서울,서울중랑구,1117000,N,3.25
2021,서울,서울성북구,1118000,N,8.13
2021,서울,서울강북구,1119000,N,9.63
2021,서울,서울도봉구,1120000,N,2.49
2021,서울,서울노원구,1121000,N,4.67
2021,서울,서울은평구,1122000,N,2.52
2021,서울,서울서대문구,1123000,N,4.5
2021,서울,서울마포구,1124000,N,-0.63
2021,서울,서울양천구,1125000,N,4.65
2021,서울,서울강서구,1126000,N,8.22
2021,서울,서울구로구,1127000,N,7.67
2021,서울,서울금천구,1128000,N,6.39
2021,서울,서울영등포구,1129000,N,5.16
2021,서울,서울동작구,1130000,N,9.61
2021,서울,서울관악구,1131000,N,5.63
2021,서울,서울서초구,1132000,N,9.85
2021,서울,서울강남구,1133000,N,-2.58
2021,서울,서울송파구,1134000,N,4.24
2021,서울,서울강동구,1135000,N,-2.17
2021,부산,부산본청,2600000,Y,0.55
2021,부산,부산중구,2611000,N,8.28
2021,부산,부산서구,2612000,N,8.14
2021,부산,부산동구,2613000,N,4.02
2021,부산,부산영도구,2614000,N,4.74
2021,부산,부산부산진구,2615000,N,6.39
2021,부산,부산동래구,2616000,N,1.28
2021,부산,부산남구,2617000,N,9.93
2021,부산,부산북구,2618000,N,3.31
