회계연도,지역명,자치단체명,자치단체코드,본청여부,예산대비채무비율
2020,강원,강원태백시,4215000,N,6.28
2020,강원,강원속초시,4216000,N,2.64
2020,강원,강원삼척시,4217000,N,0
2020,강원,강원홍천군,4271000,N,0
2020,강원,강원횡성군,4272000,N,0
2020,강원,강원영월군,4273000,N,0
2020,강원,강원평창군,4274000,N,4.01
2020,강원,강원정선군,4275000,N,0
2020,강원,강원철원군,4276000,N,0
2020,강원,강원화천군,4277000,N,0
2020,강원,강원양구군,4278000,N,0
2020,강원,강원인제군,4279000,N,0
2020,강원,강원고성군,4280000,N,0
2020,강원,강원양양군,4281000,N,0
2020,충북,충북본청,4300000,Y,10.5
2020,충북,충북충주시,4312000,N,0
2020,충북,충북제천시,4313000,N,0.65
2020,충북,충북청주시,4314000,N,1.3
2020,충북,충북보은군,4372000,N,0.97
2020,충북,충북옥천군,4373000,N,0
2020,충북,충북영동군,4374000,N,0
2020,충북,충북진천군,4375000,N,1.23
2020,충북,충북괴산군,4376000,N,0
2020,충북,충북음성군,4377000,N,2.72
2020,충북,충북단양군,4378000,N,0
2020,충북,충북증평군,4379000,N,0.68
2020,충남,충남본청,4400000,Y,8.14
2020,충남,충남천안시,4411000,N,3.18
2020,충남,충남공주시,4412000,N,0
2020,충남,충남보령시,4413000,N,0
2020,충남,충남아산시,4414000,N,5.14
2020,충남,충남서산시,4415000,N,0
2020,충남,충남논산시,4416000,N,0
2020,충남,충남계룡시,4417000,N,0
2020,충남,충남당진시,4418000,N,1.61
2020,충남,충남금산군,4471000,N,0
2020,충남,충남부여군,4473000,N,0
2020,충남,충남서천군,4474000,N,0.41
2020,충남,충남청양군,4475000,N,0
2020,충남,충남홍성군,4476000,N,0
2020,충남,충남예산군,4477000,N,0
2020,충남,충남태안군,4478000,N,0
2020,전북,전북본청,4500000,Y,6.92
2020,전북,전북전주시,4511000,N,5.89
2020,전북,전북군산시,4512000,N,1.61
2020,전북,전북익산시,4513000,N,0
2020,전북,전북정읍시,4514000,N,0
2020,전북,전북남원시,4515000,N,0
2020,전북,전북김제시,4516000,N,0
2020,전북,전북완주군,4571000,N,1.53
2020,전북,전북진안군,4572000,N,0
2020,전북,전북무주군,4573000,N,0
2020,전북,전북장수군,4574000,N,0
2020,전북,전북임실군,4575000,N,0.56
2020,전북,전북순창군,4576000,N,0
2020,전북,전북고창군,4577000,N,0.79
2020,전북,전북부안군,4578000,N,0
2020,전남,전남본청,4600000,Y,11
2020,전남,전남목포시,4611000,N,8.51
2020,전남,전남여수시,4612000,N,0
2020,전남,전남순천시,4613000,N,0
2020,전남,전남나주시,4614000,N,0.2
2020,전남,전남광양시,4615000,N,0.49
2020,전남,전남담양군,4671000,N,1.76
2020,전남,전남곡성군,4672000,N,0
2020,전남,전남구례군,4673000,N,0.16
2020,전남,전남고흥군,4674000,N,0
2020,전남,전남보성군,4675000,N,0
2020,전남,전남화순군,4676000,N,0
2020,전남,전남장흥군,4677000,N,0
2020,전남,전남강진군,4678000,N,0
2020,전남,전남해남군,4679000,N,0
2020,전남,전남영암군,4680000,N,0
2020,전남,전남무안군,4681000,N,0
2020,전남,전남함평군,4682000,N,0
2020,전남,전남영광군,4683000,N,0
2020,전남,전남장성군,4684000,N,0
2020,전남,전남완도군,4685000,N,0
2020,전남,전남진도군,4686000,N,0.02
2020,전남,전남신안군,4687000,N,2.78
2020,경북,경북본청,4700000,Y,11.98
2020,경북,경북포항시,4711000,N,2.77
2020,경북,경북경주시,4712000,N,0.53
2020,경북,경북김천시,4713000,N,0
2020,경북,경북안동시,4714000,N,0
2020,경북,경북구미시,4715000,N,12.8
2020,경북,경북영주시,4716000,N,0
2020,경북,경북영천시,4717000,N,0
2020,경북,경북상주시,4718000,N,0
2020,경북,경북문경시,4719000,N,1.85
2020,경북,경북경산시,4720000,N,2.17
2020,경북,경북군위군,4771000,N,0
2020,경북,경북의성군,4772000,N,0
2020,경북,경북청송군,4773000,N,0
2020,경북,경북영양군,4774000,N,0
2020,경북,경북영덕군,4775000,N,1.93
2020,경북,경북청도군,4776000,N,0
2020,경북,경북고령군,4777000,N,0
2020,경북,경북성주군,4778000,N,0
2020,경북,경북칠곡군,4779000,N,0
2020,경북,경북예천군,4780000,N,2.42
2020,경북,경북봉화군,4781000,N,1.12
2020,경북,경북울진군,4782000,N,0.44
2020,경북,경북울릉군,4783000,N,0.32
2020,경남,경남본청,4800000,Y,6.22
2020,경남,경남창원시,4811000,N,8.29
2020,경남,경남진주시,4813000,N,0
2020,경남,경남통영시,4815000,N,0
2020,경남,경남사천시,4816000,N,3.63
2020,경남,경남김해시,4817000,N,7.62
2020,경남,경남밀양시,4818000,N,0
2020,경남,경남거제시,4819000,N,1.65
2020,경남,경남양산시,4820000,N,0
2020,경남,경남의령군,4871000,N,0
2020,경남,경남함안군,4872000,N,0
2020,경남,경남창녕군,4873000,N,0
2020,경남,경남고성군,4874000,N,0
2020,경남,경남남해군,4875000,N,0
2020,경남,경남하동군,4876000,N,1.44
2020,경남,경남산청군,4877000,N,0
2020,경남,경남함양군,4878000,N,1.37
2020,경남,경남거창군,4879000,N,0
2020,경남,경남합천군,4880000,N,0
2020,제주,제주본청,4900000,Y,10.07
2021,서울,서울본청,1100000,Y,22.62
2021,서울,서울종로구,1111000,N,0
2021,서울,서울중구,1112000,N,0
2021,서울,서울용산구,1113000,N,0
2021,서울,서울성동구,1114000,N,0
2021,서울,서울광진구,1115000,N,0
2021,서울,서울동대문구,1116000,N,0
2021,서울,서울중랑구,1117000,N,0
2021,서울,서울성북구,1118000,N,0
2021,서울,서울강북구,1119000,N,0
2021,서울,서울도봉구,1120000,N,0
2021,서울,서울노원구,1121000,N,0
2021,서울,서울은평구,1122000,N,0
2021,서울,서울서대문구,1123000,N,0
2021,서울,서울마포구,1124000,N,0
2021,서울,서울양천구,1125000,N,0
2021,서울,서울강서구,1126000,N,0
2021,서울,서울구로구,1127000,N,0
2021,서울,서울금천구,1128000,N,0
2021,서울,서울영등포구,1129000,N,0
2021,서울,서울동작구,1130000,N,0
2021,서울,서울관악구,1131000,N,0
2021,서울,서울서초구,1132000,N,0
2021,서울,서울강남구,1133000,N,0
2021,서울,서울송파구,1134000,N,0
2021,서울,서울강동구,1135000,N,0
2021,부산,부산본청,2600000,Y,18.51
2021,부산,부산중구,2611000,N,0
2021,부산,부산서구,2612000,N,0
2021,부산,부산동구,2613000,N,0
2021,부산,부산영도구,2614000,N,0
2021,부산,부산부산진구,2615000,N,0
2021,부산,부산동래구,2616000,N,0
2021,부산,부산남구,2617000,N,0
2021,부산,부산북구,2618000,N,0
2021,부산,부산해운대구,2619000,N,0
2021,부산,부산사하구,2620000,N,0.91
2021,부산,부산금정구,2621000,N,0
2021,부산,부산강서구,2622000,N,0
2021,부산,부산연제구,2623000,N,0
2021,부산,부산수영구,2624000,N,0
2021,부산,부산사상구,2625000,N,0
2021,부산,부산기장군,2671000,N,0
2021,대구,대구본청,2700000,Y,19.38
2021,대구,대구중구,2711000,N,0
2021,대구,대구동구,2712000,N,0.12
2021,대구,대구서구,2713000,N,0
2021,대구,대구남구,2714000,N,0
2021,대구,대구북구,2715000,N,0.2
2021,대구,대구수성구,2716000,N,0
2021,대구,대구달서구,2717000,N,0
2021,대구,대구달성군,2771000,N,0
2021,인천,인천본청,2800000,Y,12.13
2021,인천,인천중구,2811000,N,0
2021,인천,인천동구,2812000,N,0
2021,인천,인천미추홀구,2813000,N,0.73
2021,인천,인천연수구,2814000,N,0
2021,인천,인천남동구,2815000,N,1.02
2021,인천,인천부평구,2816000,N,1.98
2021,인천,인천계양구,2817000,N,0
2021,인천,인천서구,2818000,N,1.35
2021,인천,인천강화군,2871000,N,0
2021,인천,인천옹진군,2872000,N,0
2021,광주,광주본청,2900000,Y,15.22
2021,광주,광주동구,2911000,N,0
2021,광주,광주서구,2912000,N,0
2021,광주,광주남구,2913000,N,0.42
2021,광주,광주북구,2914000,N,0.2
2021,광주,광주광산구,2915000,N,0.22
2021,대전,대전본청,3000000,Y,10.45
2021,대전,대전동구,3011000,N,0
2021,대전,대전중구,3012000,N,0
2021,대전,대전서구,3013000,N,0
2021,대전,대전유성구,3014000,N,0
2021,대전,대전대덕구,3015000,N,0
2021,울산,울산본청,3100000,Y,18.53
2021,울산,울산중구,3111000,N,0
2021,울산,울산남구,3112000,N,0
2021,울산,울산동구,3113000,N,0.15
2021,울산,울산북구,3114000,N,0
2021,울산,울산울주군,3171000,N,0
2021,세종,세종본청,3200000,Y,14.3
2021,경기,경기본청,4100000,Y,6.28
2021,경기,경기수원시,4111000,N,9.02
2021,경기,경기성남시,4112000,N,4.57
2021,경기,경기의정부시,4113000,N,0
2021,경기,경기안양시,4114000,N,0
2021,경기,경기부천시,4115000,N,4.41
2021,경기,경기광명시,4116000,N,0
2021,경기,경기평택시,4117000,N,3.52
2021,경기,경기동두천시,4118000,N,0
2021,경기,경기안산시,4119000,N,0
2021,경기,경기고양시,4120000,N,0
2021,경기,경기과천시,4121000,N,0
2021,경기,경기구리시,4122000,N,0
2021,경기,경기남양주시,4123000,N,0
2021,경기,경기오산시,4124000,N,3.07
2021,경기,경기시흥시,4125000,N,0
2021,경기,경기군포시,4126000,N,0
2021,경기,경기의왕시,4127000,N,0
2021,경기,경기하남시,4128000,N,1.64
2021,경기,경기용인시,4129000,N,0
2021,경기,경기파주시,4130000,N,0
2021,경기,경기이천시,4131000,N,0
2021,경기,경기안성시,4132000,N,0
2021,경기,경기김포시,4133000,N,0
2021,경기,경기화성시,4134000,N,0
2021,경기,경기광주시,4135000,N,0
2021,경기,경기양주시,4136000,N,5.73
2021,경기,경기포천시,4137000,N,0
2021,경기,경기여주시,4138000,N,0
2021,경기,경기연천군,4175000,N,0
2021,경기,경기가평군,4177000,N,1.07
2021,경기,경기양평군,4178000,N,0.82
2021,강원,강원본청,4200000,Y,12.48
2021,강원,강원춘천시,4211000,N,3.7
2021,강원,강원원주시,4212000,N,2.83
2021,강원,강원강릉시,4213000,N,3.92
2021,강원,강원동해시,4214000,N,0
2021,강원,강원태백시,4215000,N,4.59
2021,강원,강원속초시,4216000,N,2.87
2021,강원,강원삼척시,4217000,N,0
2021,강원,강원홍천군,4271000,N,0
2021,강원,강원횡성군,4272000,N,0
2021,강원,강원영월군,4273000,N,0
2021,강원,강원평창군,4274000,N,6.26
2021,강원,강원정선군,4275000,N,0
2021,강원,강원철원군,4276000,N,0
2021,강원,강원화천군,4277000,N,0
2021,강원,강원양구군,4278000,N,0
2021,강원,강원인제군,4279000,N,0
2021,강원,강원고성군,4280000,N,1.52
2021,강원,강원양양군,4281000,N,0
2021,충북,충북본청,4300000,Y,10.54
2021,충북,충북충주시,4312000,N,0.02
2021,충북,충북제천시,4313000,N,0.6
2021,충북,충북청주시,4314000,N,1.74
2021,충북,충북보은군,4372000,N,0.92
2021,충북,충북옥천군,4373000,N,0
2021,충북,충북영동군,4374000,N,1.02
2021,충북,충북진천군,4375000,N,1.71
2021,충북,충북괴산군,4376000,N,2.78
2021,충북,충북음성군,4377000,N,4.13
2021,충북,충북단양군,4378000,N,0
2021,충북,충북증평군,4379000,N,0.47
2021,충남,충남본청,4400000,Y,9.96
2021,충남,충남천안시,4411000,N,5.39
2021,충남,충남공주시,4412000,N,0
2021,충남,충남보령시,4413000,N,0
2021,충남,충남아산시,4414000,N,5.04
2021,충남,충남서산시,4415000,N,0
2021,충남,충남논산시,4416000,N,0
2021,충남,충남계룡시,4417000,N,0
2021,충남,충남당진시,4418000,N,1.33
2021,충남,충남금산군,4471000,N,0
2021,충남,충남부여군,4473000,N,0
2021,충남,충남서천군,4474000,N,0
2021,충남,충남청양군,4475000,N,0
2021,충남,충남홍성군,4476000,N,0
2021,충남,충남예산군,4477000,N,0
2021,충남,충남태안군,4478000,N,0
2021,전북,전북본청,4500000,Y,6.61
2021,전북,전북전주시,4511000,N,6.85
2021,전북,전북군산시,4512000,N,0.82
2021,전북,전북익산시,4513000,N,0
2021,전북,전북정읍시,4514000,N,0
2021,전북,전북남원시,4515000,N,0
2021,전북,전북김제시,4516000,N,0
2021,전북,전북완주군,4571000,N,3.72
2021,전북,전북진안군,4572000,N,0
2021,전북,전북무주군,4573000,N,0
2021,전북,전북장수군,4574000,N,0
2021,전북,전북임실군,4575000,N,4.16
2021,전북,전북순창군,4576000,N,0
2021,전북,전북고창군,4577000,N,2.3
2021,전북,전북부안군,4578000,N,0
2021,전남,전남본청,4600000,Y,10.76
2021,전남,전남목포시,4611000,N,5.75
2021,전남,전남여수시,4612000,N,0
2021,전남,전남순천시,4613000,N,1.71
2021,전남,전남나주시,4614000,N,1.42
2021,전남,전남광양시,4615000,N,0.5
2021,전남,전남담양군,4671000,N,1.58
2021,전남,전남곡성군,4672000,N,0
2021,전남,전남구례군,4673000,N,0.06
2021,전남,전남고흥군,4674000,N,0
2021,전남,전남보성군,4675000,N,0
2021,전남,전남화순군,4676000,N,0
2021,전남,전남장흥군,4677000,N,0
2021,전남,전남강진군,4678000,N,0
2021,전남,전남해남군,4679000,N,0
2021,전남,전남영암군,4680000,N,0
2021,전남,전남무안군,4681000,N,0
2021,전남,전남함평군,4682000,N,0
2021,전남,전남영광군,4683000,N,0
2021,전남,전남장성군,4684000,N,0
2021,전남,전남완도군,4685000,N,0
2021,전남,전남진도군,4686000,N,0.01
2021,전남,전남신안군,4687000,N,0
2021,경북,경북본청,4700000,Y,12.65
2021,경북,경북포항시,4711000,N,4.48
2021,경북,경북경주시,4712000,N,1
2021,경북,경북김천시,4713000,N,0
2021,경북,경북안동시,4714000,N,0
2021,경북,경북구미시,4715000,N,10.55
2021,경북,경북영주시,4716000,N,0
2021,경북,경북영천시,4717000,N,0
2021,경북,경북상주시,4718000,N,0
2021,경북,경북문경시,4719000,N,1.52
2021,경북,경북경산시,4720000,N,2.28
2021,경북,경북군위군,4771000,N,0
2021,경북,경북의성군,4772000,N,0
2021,경북,경북청송군,4773000,N,0
2021,경북,경북영양군,4774000,N,0
2021,경북,경북영덕군,4775000,N,1.93
2021,경북,경북청도군,4776000,N,0
2021,경북,경북고령군,4777000,N,0
2021,경북,경북성주군,4778000,N,0
2021,경북,경북칠곡군,4779000,N,0
2021,경북,경북예천군,4780000,N,1.96
2021,경북,경북봉화군,4781000,N,2.89
2021,경북,경북울진군,4782000,N,0.35
2021,경북,경북울릉군,4783000,N,0
2021,경남,경남본청,4800000,Y,8.17
2021,경남,경남창원시,4811000,N,9.56
2021,경남,경남진주시,4813000,N,0
2021,경남,경남통영시,4815000,N,0
2021,경남,경남사천시,4816000,N,3.56
2021,경남,경남김해시,4817000,N,8.57
2021,경남,경남밀양시,4818000,N,0
2021,경남,경남거제시,4819000,N,1.41
2021,경남,경남양산시,4820000,N,1.41
2021,경남,경남의령군,4871000,N,0
2021,경남,경남함안군,4872000,N,0
2021,경남,경남창녕군,4873000,N,0
2021,경남,경남고성군,4874000,N,0
2021,경남,경남남해군,4875000,N,0
2021,경남,경남하동군,4876000,N,13.94
2021,경남,경남산청군,4877000,N,0
2021,경남,경남함양군,4878000,N,1.37
2021,경남,경남거창군,4879000,N,0
2021,경남,경남합천군,4880000,N,0.13
2021,제주,제주본청,4900000,Y,13.97
2022,서울,서울본청,1100000,Y,20.15
2022,서울,서울종로구,1111000,N,0
2022,서울,서울중구,1112000,N,0
2022,서울,서울용산구,1113000,N,0
2022,서울,서울성동구,1114000,N,0
2022,서울,서울광진구,1115000,N,0
2022,서울,서울동대문구,1116000,N,0
2022,서울,서울중랑구,1117000,N,0
2022,서울,서울성북구,1118000,N,0
2022,서울,서울강북구,1119000,N,0
2022,서울,서울도봉구,1120000,N,0
2022,서울,서울노원구,1121000,N,0
2022,서울,서울은평구,1122000,N,0
2022,서울,서울서대문구,1123000,N,0
2022,서울,서울마포구,1124000,N,0
2022,서울,서울양천구,1125000,N,0
2022,서울,서울강서구,1126000,N,0
2022,서울,서울구로구,1127000,N,0
2022,서울,서울금천구,1128000,N,0
2022,서울,서울영등포구,1129000,N,0
2022,서울,서울동작구,1130000,N,0
2022,서울,서울관악구,1131000,N,0
2022,서울,서울서초구,1132000,N,0
2022,서울,서울강남구,1133000,N,0
2022,서울,서울송파구,1134000,N,0
2022,서울,서울강동구,1135000,N,0
2022,부산,부산본청,2600000,Y,17.55
2022,부산,부산중구,2611000,N,0
2022,부산,부산서구,2612000,N,0.18
2022,부산,부산동구,2613000,N,0
2022,부산,부산영도구,2614000,N,0
2022,부산,부산부산진구,2615000,N,0
2022,부산,부산동래구,2616000,N,0
2022,부산,부산남구,2617000,N,0
2022,부산,부산북구,2618000,N,0
2022,부산,부산해운대구,2619000,N,0
2022,부산,부산사하구,2620000,N,0.76
2022,부산,부산금정구,2621000,N,0
2022,부산,부산강서구,2622000,N,0
2022,부산,부산연제구,2623000,N,0
2022,부산,부산수영구,2624000,N,0
2022,부산,부산사상구,2625000,N,0
2022,부산,부산기장군,2671000,N,0
2022,대구,대구본청,2700000,Y,18.91
2022,대구,대구중구,2711000,N,0
2022,대구,대구동구,2712000,N,0
2022,대구,대구서구,2713000,N,0
2022,대구,대구남구,2714000,N,0
2022,대구,대구북구,2715000,N,0.15
2022,대구,대구수성구,2716000,N,0
2022,대구,대구달서구,2717000,N,0
2022,대구,대구달성군,2771000,N,0.09
2022,인천,인천본청,2800000,Y,11.87
2022,인천,인천중구,2811000,N,1.01
2022,인천,인천동구,2812000,N,0
2022,인천,인천미추홀구,2813000,N,0.65
2022,인천,인천연수구,2814000,N,0
2022,인천,인천남동구,2815000,N,1.26
2022,인천,인천부평구,2816000,N,1.08
2022,인천,인천계양구,2817000,N,0
2022,인천,인천서구,2818000,N,1.82
2022,인천,인천강화군,2871000,N,0
2022,인천,인천옹진군,2872000,N,0
2022,광주,광주본청,2900000,Y,17.19
2022,광주,광주동구,2911000,N,0
2022,광주,광주서구,2912000,N,0
2022,광주,광주남구,2913000,N,0.04
2022,광주,광주북구,2914000,N,0.17
2022,광주,광주광산구,2915000,N,0.84
2022,대전,대전본청,3000000,Y,12.08
2022,대전,대전동구,3011000,N,0
2022,대전,대전중구,3012000,N,0
2022,대전,대전서구,3013000,N,0
2022,대전,대전유성구,3014000,N,0
2022,대전,대전대덕구,3015000,N,0
2022,울산,울산본청,3100000,Y,17.56
2022,울산,울산중구,3111000,N,0
2022,울산,울산남구,3112000,N,0
2022,울산,울산동구,3113000,N,0.1
2022,울산,울산북구,3114000,N,0
2022,울산,울산울주군,3171000,N,0
2022,세종,세종본청,3200000,Y,14.45
2022,경기,경기본청,4100000,Y,9.12
2022,경기,경기수원시,4111000,N,7.74
2022,경기,경기성남시,4112000,N,3.9
2022,경기,경기의정부시,4113000,N,0
2022,경기,경기안양시,4114000,N,0
2022,경기,경기부천시,4115000,N,6.48
2022,경기,경기광명시,4116000,N,0
2022,경기,경기평택시,4117000,N,4.39
2022,경기,경기동두천시,4118000,N,0
2022,경기,경기안산시,4119000,N,0
2022,경기,경기고양시,4120000,N,0.37
2022,경기,경기과천시,4121000,N,0
2022,경기,경기구리시,4122000,N,0
2022,경기,경기남양주시,4123000,N,0
2022,경기,경기오산시,4124000,N,2.81
2022,경기,경기시흥시,4125000,N,0
2022,경기,경기군포시,4126000,N,0
2022,경기,경기의왕시,4127000,N,0
2022,경기,경기하남시,4128000,N,1.44
2022,경기,경기용인시,4129000,N,0
2022,경기,경기파주시,4130000,N,0
2022,경기,경기이천시,4131000,N,0
2022,경기,경기안성시,4132000,N,0
2022,경기,경기김포시,4133000,N,0
2022,경기,경기화성시,4134000,N,0
2022,경기,경기광주시,4135000,N,0
2022,경기,경기양주시,4136000,N,7.6
2022,경기,경기포천시,4137000,N,0
2022,경기,경기여주시,4138000,N,0
2022,경기,경기연천군,4175000,N,0
2022,경기,경기가평군,4177000,N,0
2022,경기,경기양평군,4178000,N,0.49
2022,강원,강원본청,4200000,Y,12.18
2022,강원,강원춘천시,4211000,N,3.09
2022,강원,강원원주시,4212000,N,2.29
2022,강원,강원강릉시,4213000,N,3.43
2022,강원,강원동해시,4214000,N,0
2022,강원,강원태백시,4215000,N,3.28
2022,강원,강원속초시,4216000,N,2.8
2022,강원,강원삼척시,4217000,N,0
2022,강원,강원홍천군,4271000,N,0
2022,강원,강원횡성군,4272000,N,0
2022,강원,강원영월군,4273000,N,0
2022,강원,강원평창군,4274000,N,3.07
2022,강원,강원정선군,4275000,N,0
2022,강원,강원철원군,4276000,N,0
2022,강원,강원화천군,4277000,N,0
2022,강원,강원양구군,4278000,N,0
2022,강원,강원인제군,4279000,N,0
2022,강원,강원고성군,4280000,N,1.34
2022,강원,강원양양군,4281000,N,0
2022,충북,충북본청,4300000,Y,10.75
2022,충북,충북충주시,4312000,N,0
2022,충북,충북제천시,4313000,N,0.58
2022,충북,충북청주시,4314000,N,1.57
2022,충북,충북보은군,4372000,N,0.72
2022,충북,충북옥천군,4373000,N,0
2022,충북,충북영동군,4374000,N,0.83
2022,충북,충북진천군,4375000,N,1.48
2022,충북,충북괴산군,4376000,N,1.89
2022,충북,충북음성군,4377000,N,3.67
2022,충북,충북단양군,4378000,N,0
2022,충북,충북증평군,4379000,N,0.26
2022,충남,충남본청,4400000,Y,11.01
2022,충남,충남천안시,4411000,N,4.28
2022,충남,충남공주시,4412000,N,0
2022,충남,충남보령시,4413000,N,0.08
2022,충남,충남아산시,4414000,N,7.1
2022,충남,충남서산시,4415000,N,0
2022,충남,충남논산시,4416000,N,0
2022,충남,충남계룡시,4417000,N,0
2022,충남,충남당진시,4418000,N,0.92
2022,충남,충남금산군,4471000,N,0
2022,충남,충남부여군,4473000,N,0
2022,충남,충남서천군,4474000,N,0
2022,충남,충남청양군,4475000,N,0
2022,충남,충남홍성군,4476000,N,0
2022,충남,충남예산군,4477000,N,0
2022,충남,충남태안군,4478000,N,0
2022,전북,전북본청,4500000,Y,6.62
2022,전북,전북전주시,4511000,N,7.55
2022,전북,전북군산시,4512000,N,0.67
2022,전북,전북익산시,4513000,N,2
2022,전북,전북정읍시,4514000,N,0
2022,전북,전북남원시,4515000,N,0
2022,전북,전북김제시,4516000,N,0
2022,전북,전북완주군,4571000,N,3.14
2022,전북,전북진안군,4572000,N,0
2022,전북,전북무주군,4573000,N,0
2022,전북,전북장수군,4574000,N,0
2022,전북,전북임실군,4575000,N,1.77
2022,전북,전북순창군,4576000,N,0
2022,전북,전북고창군,4577000,N,1.46
2022,전북,전북부안군,4578000,N,0
2022,전남,전남본청,4600000,Y,11.13
2022,전남,전남목포시,4611000,N,2.67
2022,전남,전남여수시,4612000,N,0
2022,전남,전남순천시,4613000,N,1.43
2022,전남,전남나주시,4614000,N,1.66
2022,전남,전남광양시,4615000,N,0.37
2022,전남,전남담양군,4671000,N,0.14
2022,전남,전남곡성군,4672000,N,0
2022,전남,전남구례군,4673000,N,0
2022,전남,전남고흥군,4674000,N,0
2022,전남,전남보성군,4675000,N,0
2022,전남,전남화순군,4676000,N,0
2022,전남,전남장흥군,4677000,N,0
2022,전남,전남강진군,4678000,N,0
2022,전남,전남해남군,4679000,N,0
2022,전남,전남영암군,4680000,N,0
2022,전남,전남무안군,4681000,N,0
2022,전남,전남함평군,4682000,N,0.12
2022,전남,전남영광군,4683000,N,0
2022,전남,전남장성군,4684000,N,0
2022,전남,전남완도군,4685000,N,0
2022,전남,전남진도군,4686000,N,0.01
2022,전남,전남신안군,4687000,N,0.16
2022,경북,경북본청,4700000,Y,10.34
2022,경북,경북포항시,4711000,N,5.44
2022,경북,경북경주시,4712000,N,0
2022,경북,경북김천시,4713000,N,0
2022,경북,경북안동시,4714000,N,0
2022,경북,경북구미시,4715000,N,6.84
2022,경북,경북영주시,4716000,N,0
2022,경북,경북영천시,4717000,N,0
2022,경북,경북상주시,4718000,N,0
2022,경북,경북문경시,4719000,N,0
2022,경북,경북경산시,4720000,N,1.7
2022,경북,경북군위군,4771000,N,0
2022,경북,경북의성군,4772000,N,0
2022,경북,경북청송군,4773000,N,0
2022,경북,경북영양군,4774000,N,0
2022,경북,경북영덕군,4775000,N,0.25
2022,경북,경북청도군,4776000,N,0
2022,경북,경북고령군,4777000,N,0
2022,경북,경북성주군,4778000,N,0.15
2022,경북,경북칠곡군,4779000,N,0
2022,경북,경북예천군,4780000,N,1.59
2022,경북,경북봉화군,4781000,N,2.62
2022,경북,경북울진군,4782000,N,0.14
2022,경북,경북울릉군,4783000,N,0
2022,경남,경남본청,4800000,Y,9.39
2022,경남,경남창원시,4811000,N,8.57
2022,경남,경남진주시,4813000,N,0
2022,경남,경남통영시,4815000,N,0
2022,경남,경남사천시,4816000,N,2.11
2022,경남,경남김해시,4817000,N,7.89
2022,경남,경남밀양시,4818000,N,0
2022,경남,경남거제시,4819000,N,1.79
2022,경남,경남양산시,4820000,N,1.26
2022,경남,경남의령군,4871000,N,0
2022,경남,경남함안군,4872000,N,0
2022,경남,경남창녕군,4873000,N,0
2022,경남,경남고성군,4874000,N,0
2022,경남,경남남해군,4875000,N,0
2022,경남,경남하동군,4876000,N,11.77
2022,경남,경남산청군,4877000,N,0
2022,경남,경남함양군,4878000,N,1.12
2022,경남,경남거창군,4879000,N,0
2022,경남,경남합천군,4880000,N,0.1
2022,제주,제주본청,4900000,Y,14.28
2023,서울,서울본청,1100000,Y,20.1
2023,서울,서울종로구,1111000,N,0
2023,서울,서울중구,1112000,N,0
2023,서울,서울용산구,1113000,N,0
2023,서울,서울성동구,1114000,N,0
2023,서울,서울광진구,1115000,N,0
2023,서울,서울동대문구,1116000,N,0
2023,서울,서울중랑구,1117000,N,0
2023,서울,서울성북구,1118000,N,0
2023,서울,서울강북구,1119000,N,0
2023,서울,서울도봉구,1120000,N,0
2023,서울,서울노원구,1121000,N,0
2023,서울,서울은평구,1122000,N,0
2023,서울,서울서대문구,1123000,N,0
2023,서울,서울마포구,1124000,N,0
2023,서울,서울양천구,1125000,N,0
2023,서울,서울강서구,1126000,N,0
2023,서울,서울구로구,1127000,N,0
2023,서울,서울금천구,1128000,N,0
2023,서울,서울영등포구,1129000,N,0
2023,서울,서울동작구,1130000,N,0
2023,서울,서울관악구,1131000,N,0
2023,서울,서울서초구,1132000,N,0
2023,서울,서울강남구,1133000,N,0
2023,서울,서울송파구,1134000,N,0
2023,서울,서울강동구,1135000,N,0
2023,부산,부산본청,2600000,Y,17.79
2023,부산,부산중구,2611000,N,0
2023,부산,부산서구,2612000,N,0
2023,부산,부산동구,2613000,N,0
2023,부산,부산영도구,2614000,N,0
2023,부산,부산부산진구,2615000,N,0
2023,부산,부산동래구,2616000,N,0
2023,부산,부산남구,2617000,N,0
2023,부산,부산북구,2618000,N,0
2023,부산,부산해운대구,2619000,N,0
2023,부산,부산사하구,2620000,N,0.68
2023,부산,부산금정구,2621000,N,0
2023,부산,부산강서구,2622000,N,0
2023,부산,부산연제구,2623000,N,0
2023,부산,부산수영구,2624000,N,0
2023,부산,부산사상구,2625000,N,0
2023,부산,부산기장군,2671000,N,0
2023,대구,대구본청,2700000,Y,20.27
2023,대구,대구중구,2711000,N,0
2023,대구,대구동구,2712000,N,0
2023,대구,대구서구,2713000,N,0
2023,대구,대구남구,2714000,N,0
2023,대구,대구북구,2715000,N,0
2023,대구,대구수성구,2716000,N,0
2023,대구,대구달서구,2717000,N,0
2023,대구,대구달성군,2771000,N,0.09
2023,인천,인천본청,2800000,Y,11.58
2023,인천,인천중구,2811000,N,0.96
2023,인천,인천동구,2812000,N,0
2023,인천,인천미추홀구,2813000,N,0.54
2023,인천,인천연수구,2814000,N,0
2023,인천,인천남동구,2815000,N,1.1
2023,인천,인천부평구,2816000,N,1.14
2023,인천,인천계양구,2817000,N,0
2023,인천,인천서구,2818000,N,1.65
2023,인천,인천강화군,2871000,N,0
2023,인천,인천옹진군,2872000,N,0
